,Input.selftext,Answer.crowd_input
87,"What are some goo black comey/surreal humour hits like The Big Lebowski, Seth Rogae films (think Pineapple express, Superba), Simon Pegg's Cornetto Trilogy etc. 

Not the easiest thing to escribe so I inclue some examples, but essentially just films that are completely absur but still manage to keep a coherent plot with a cast that plays off each other really well. An naturally, shoul be funny or meant to be comeic.","Superba, Cornetto Trilogy, The Big Lebowski, Pineapple express"
88,"I am looking for series like Hannibal, an alienist with ark an eerie backrop. Also anything that has greyish an ark cinematography, with noric settings.","eerie backdrop, Hannibal, an alienist with ark"
89,"The only one I can think of is the Down an Dirty Duck, but curious if anyone here knows more movies similar to Fritz the Cat","Fritz the Cat, Down an Dirty Duck"
90,"Hello! I recently watche Ang lee's Eat rink man woman an i love it a lot. I have not watche a lot of Taiwanese movies but I've enjoye the ones that I've seen. I am hoping to fin some suggestions for the Taiwanese new wave cinema or even the new one's for that matter.

I know about some of ewar yang's movie but that's that. I want to watch some more, so, kinly recommen some of your must watch or the one you have enjoye an woul want others to watch too.
Thank you!",Eat rink man woman
91,"Can y'all suggest movies with similar aesthetics to that of the 1990 movie Flatliners? with the neo-gothic, surreal nightscapes an all?",Flatliners
92,"I want sci fi an fantasy movies as amazing as the original star wars trilogy, lor of the rings trilogy, aliens 1986, an the matrix. I've seen others that are goo but nothing has surpase these in my opinion. What are others you think are on the same level or almost as goo?","star wars, lor of the rings trilogy, star wars trilogy, the matrix, lor of the rings, matrix, aliens 1986, aliens"
93,"This might be har to get across to someone who hasn’t rea a lot of SK books but given how prolific an popular he is I’m hoping such people aren’t rare. I’m a big fan of King’s writing but fin film aaptations of his work generally terrible, barring a few notable exceptions like The Shawshank Reemptions an The Shining. I’m looking for movies that have similar themes an settings to King’s writing (rural/small-town Maine, sinister mysterious stranger, omens an flashbacks, etc.). It coul be an actual aaptation or something totally inepenent. The horror component is optional but it shouln’t be something that woul be out of place in a King story. Any suggestions?","The Shawshank Reemptions, The Shining, Shawshank Reemptions"
94,"
 Daniel Boone an Major William Russell an company were traveling to Kentucky to open a traing post an part of their company were attacke, torture an kille by Inians incluing James Boone an Henry Russell.",","
95,"I want a movie without a riiculous or stupi plot where it coul easily be a non comey if it wante to be, a goo example woul be my cousin vinny","my cousin vinny, stupi plot, riiculous"
96,"I'm looking for weir movies like the human centipee. 

I've alreay watche some others like 120 ays of Soom an A seribian film.

I'm looking for similar wier film from all over the worl an from any language","120 ays of soom, A seribian film, 120 ays of Soom, human centipee, the human centipee"
97,"I really enjoy movies like Forrest Gump an Big Fish where the main character goes through very exciting journey or harship an with a goo ening. It oesn't have to be about someone narrating his/her life story.
Preferably mae in the recent ecae.","Forrest Gump, Big Fish"
98,"Recommen some futuristic creepy movies like A.I. (2001)?

It oesn't have to be creepy but it woul be better. My title is pretty clear I guess. Thanks.",A.I
99,"My main goal is to fin **unscripte** ialogue from young people in the 90's, so it's even better if these ocumentaries feature interviews from fans (ie. regular people). So far, the only one on my list is **The Year That Punk Broke**.

I'm open to other sources of unscripte 90's ialogue from young people, but I believe music ocumentaries are the most fitting for what I want.","The Year That Punk Broke, The Year Punk Broke"
100,"I woul love to watch a historically accurate/perio piece that also has an interesting story. I on’t like exclusively romantic plots or exclusively political plots, something with a bit of rama that won’t have me also saying “they in’t wear those uring that time perio!!” I’m all for POC actors an actresses that cross that “historically accurate” line though.",na
101,Some are close to the real story. Others embellish or whatever. The main thing is you foun it entertaining or maybe learne something.,","
102,"Hi loves, I’m making a short film for college (I’m a meia stuent) an I’ve ecie to o a horror, it woul really help if someone coul give me some tips on how to make it the best I can. It’s 3-5 minutes long an I’m going to have it be about mental illness an how har it can be to live with it, any avice woul help.",","
103,"So I just caught up on Komi Can't Communicate, an I'm looking for some movies where a main character either can't express themselves well or is very shy/introverte. Live action preferre since I've been watching a fair amount of animate stuff recently. Also not really looking for stuff aime at kis.",Komi Can't Communicate
104,"Basically the title. I love both of these movies, mostly because of how stylize they are an the chaotic feel they have. Both have a perfect balance of humor an rama, an they have great sountracks, too. Are there any movies that provie a similar sort of experience?",","
105,"Hello, I want to know the name of a Hollywoo film whose plot I remember a bit.

So, the film is about a teen boy who befriens shay people an gets kille. His eler brother sets out to fin the killers. There's a particular scene in which there's a party going on an the killers an the eler brother is also there. But the brother is very aggressive an furious. Seeing this, the killers hie. At some point, the killers try to befrien the brother.",","
106,I recently have become intereste in aventure bicycling.  I’m looking for movies to motivate me.  I recently saw Bikes of Wrath an was really happy with it.  I hope there is more out there!,Bikes of Wrath
107,"What are some other movies that canily ocument all of the behin - the - scenes ynamics that transpire whilst prouction of a film?  
I can't seem to fin any that are like these two gems. Raw an excellent in their imperfections.",","
108,"I absolutely love Guillermo Del Toro’s Pinocchio: the animation style, the storytelling, an the strange, otherworlly elements. Yes, it’s technically a chilren’s movie but this movie woul have absolutely traumatize me as a ki so I think it’s efinitely more enjoyable for aults. What other films woul y’all recommen along the lines an style of Pinocchio?",Pinocchio
109,"Im not actually sure if this movie qualifies as time travel, i think it oes…

Essentially theres a camera in a room that prints out what will happen there in the future. A couple guys start using this camera which is locate in an apartment room an it points towars a winow 

Thanks guys! I cant remember the name at all",","
110,"I recently saw an avertisement for the port of [*Syberia*](https://en.wikipeia.org/wiki/Syberia) for the Ninteno Switch, an it really got me longing for a great movie with a similar aesthetic.  The early parts of the game have you in a [European town with fog](https://uploa.wikimeia.org/wikipeia/commons//e/Syberia_04_-_Valail%C3%A8ne.jpg) (an occasionally rain), an it really gives you a vibe of loneliness an isolation.  Settings like the [town's cemetery](https://i0.wp.com/waytoomany.games/wp-content/uploas/2018/08/DM16ri4VQAAOzmX.jpg), the [surrouning woos](http://gamerwalkthroughs.com/wp-content/uploas/2015/08/Syberia-Walkthrough-Valailene-Forest.jpg), an the [factory](http://gamerwalkthroughs.com/wp-content/uploas/2015/08/Syberia-Walkthrough-Factory-Courtyar.jpg) were lovely to me.  


Similarly, [*Silent Hill*](https://www.themovieb.org/movie/588-silent-hill) ha a lovely aesthetic with those [gray, ashy skies an bleary lighting](https://www.pluggein.com/wp-content/uploas/2019/12/silent-hill.png).  (Not particularly looking for a vieo game aaptation, min you, but those two really games are great examples.)  The mooiness is the seller for me here, an it's probably only going to be foun in rama films.  (Or possibly among more serious horror—[*The Witch*](https://www.themovieb.org/movie/310131-the-witch) is another one which really gave me the tone I'm seeking here, an [*The Others*](https://www.themovieb.org/movie/1933-the-others) an the first half of [*Gretel &amp; Hansel*](https://www.themovieb.org/movie/542224-gretel-an-hansel) hit pretty close, too.)  


The mere presence of rain/fog/arkness oesn't o it, so films like *Dark City* an *Blae Runner* aren't what I'm looking for.  Got any great suggestions for me?  ","Silent Hill, Gretel & Hansel, The Others, Dark City, Syberia, The Witch, Blae Runner, Blade Runner"
111,"looking for movies/shows (action/thriller preferably but not compulsory)
i'm looking for those with characters/protags who are generally very annoying/makes a lot of jokes but they have a pretty ark/ba backstory or past.

examples of this character type are:
- klaus hargreeves from the umbrella acaemy
- hannibal king from blae: trinity

you get the gist. lmk the movie+the character! not looking for animate stuff.","Umbrella Academy, the umbrella acaemy, blae: trinity, Blade: Trinity, umbrella acaemy, blae"
112,"any action/comey movies where a main character ultimately gets hurt in any part of the movie? whether it's to the point of passing out or a lot of bloo loss/torture is fine, just not very minor things like scratches","loss/torture, point of passing"
113,"Can you give some suggestions on movies that start with one story, take a wil turn an en in a totally unrelate story.

Few examples:

Triangle of saness  

Sorry to bother you","Triangle of sadness, Triangle of Sadness, Sorry to Bother You, Triangle of saness"
114,"I ecie to rewatch baby river an i still absolutely love it
Every soun an visual effect is on time with the music an that opening car chase oh man that's amazing
An that foot chase too that was so fun i was literally jumping on my seat out of excitement
I want more movies like this, anything with car chases or parkour","baby river, Baby River"
115,"I’ve seen Selma an am currently watching the ocumentary MLK/FBI, wonering if anyone has any other recommenations for movies about Martin Luther King.","ocumentary MLK/FBI, MLK/FBI, Selma"
116,"Has anyone got any suggestions of movies with min blowing, scary or twiste or even something that will make me say oh my go or what the fuge.",","
117,"Looking for movies that create an atmosphere w/ a strong sense of rea an a reamy/nightmarish vibe. Some great examples of this inclue

- I’m Thinking of Ening Things
- Mulhollan Drive
- Jacobs Laer
- Eraserhea
- Blue Velvet
- Many
- The Shining
- Suspiria (both versions)
- Last Night in Soho
- Fire Walk with Me
- Mother
- The Holy Mountain
- 2001
- Black Swan
- Climax
- Enter the Voi
- Irreversible
- Apocalypse Now
- Misommar
- Waking Life (Not Horror)
- Fear an Loathing in Las Vegas
- Eyes Wie Shut

Looking for the types of movies that “change everything” for you","Apocalypse Now, Waking Life, Many, 2001, Climax, Black Swan, Fire Walk with Me, Eyes Wie Shut, The Holy Mountain, Irreversible, Eraserhea, Blue Velvet, - Fear an Loathing in Las Vegas, The Shining, I’m Thinking of Ening Things, Last Night in Soho, Mother, Mulhollan Drive, Enter the Voi, Suspiria, Fear an Loathing in Las Vegas, Jacobs Laer, Misommar"
118,"I've seen this concept also in Captain America winter solier an Call of uty black ops, any other col war psch thriller suggestions on the same line where the protagonist becomes suggestible an angerous?","Captain America winter solier, Captain America, Call of uty black ops"
119,"Obvious choices are Clerks, Tape, Primer, Dave Mae A Maze an the Terrifier movies.

What are some low buget movies you' suggest?","Dave Mae A Maze, Terrifier, the Terrifier, Tape, Clerks, Primer"
120,"All ault movies seem to be ba for me, not even ba actors but also the story, I believe that there are some gems somewhere, can you suggest some?",","
121,"Last night the bf an I watche Preestination (2014) an it blew our mins. The time machine (2002) was also really goo.. please sen me in the right irection, thank you kinly!! (:","The time machine, Preestination (2014), The time machine (2002), Preestination"
122,"Iv watche Embrace of the Serpent (Colombia 2015), City of Go (Brazil 2002), Machuca (Chile 2002), Roma (Mexico 2018) an the Holy Mountain (Mexico 1973), as well as El Norte from 1983 which is USA. Ive live in chile an soon to live in costa rica but haven't watche many of latin american films an woul like to see whats the best from América Latina","Machuca, City of Go, Roma, El Norte, City of God, The Holy Mountain, the Holy Mountain, Embrace of the Serpent"
123,"Hey, guys right now I'm feeling pretty epresse, feeling like a failure, are there any movies I can watch which are funny plus motivating, so i can enjoy an cheer up at the same time, thanking in avance :)",","
124,"Can anyone recommen movies where Main character not met his soulmate but embark a journey to fin out soulmate.

I on't know any movies regaring with.",","
125,"Looking for films like shithouse,ege of seventeen, perks of being a wallflower , eighth grae
Films which are not just regular romantic comey set in highschool but rama films mae really well","ege of seventeen, shithouse, Age of Seventeen, Shithouse, Perks of Being a Wallflower, perks of being a wallflower, eighth grae"
126,"I'll amit that I'm a bit picky when it comes to horror movies - I only really like ones that have some supernatural/paranormal/creature-feature element to them. That sai, I have not come across a horror film that I've really like for quite a while now. The last one I watche that was recent - an that I enjoye a lot - was Hereitary (2018). Have there been any new horror films since that time that you woul recommen I try? I've watche a few that were release since then, but woul not rate any of them very highly.",Hereitary
127,"Is it sai enough that Australian VFX seems to be ahea of the curve over Hollywoo? Just watche Dark City an I was blown away by their usage of CGI an compositing. I kept thinking, ""Wow! this was from 1996??"" Besies The Matrix an Lor of the Rings, which other movies use Australian / NZ / Tasmanian VFX stuios to exemplify their focus on quality?","Lor of the Rings, Dark City, The Matrix"
128,"I’m home sick an want some feel goo movies to watch. I like oler movies better than more moern, my favorite movie of all time is My Girl but my heart can’t take seeing little Thomas J eaten by bees again.  Suggestions?","My Girl but my heart can’t take seeing little Thomas J eaten by bees again, My Girl"
129,"I’m looking for some more obscure / little known or lower buget romance films that you think are still worth a watch! I love films like “Onine” an “Once” that seeme to fly somewhat uner the raar but I also like lower buget romance films like “Shelter” an “Dakota Skye.” 

Any suggestions woul be greatly appreciate.","Dakota Skye, Shelter, “Shelter”, Onine, “Dakota Skye”, “Once”, “Onine”, Once"
130,"I have NOPE on my watchlist since I love Joran Peele movies an the iea of a horror movie set in the country, like NOPE, soun very interesting to me. So I woner if anyone knows more titles of horror/thriller movies set on the west or a ranch. It oesn't nee to have a plot similar to NOPE, I just use it as an example of the kin of setting I'm looking for.","Nope, NOPE"
131,I have until the first ay of the week to binge watch so looking for plausible an attention getter movies that is more believable than fantasy.  Thank you,","
132,"Recommen some movies or shows like The monster: Jeffrey ahmer.
Main character shoul be loner guy an socially awkwar. He became psycho or anti social ue to his loneliness.

Thanks in avance.","The Monster: Jeffrey Dahmer, The monster: Jeffrey ahmer, Jeffery Dahmer"
133,"I really nee some new comfort shows/movies i’ve ha my phases with spongebob, victorious, family guy, aventure time, brave little toaster goes to mars, thumbelina so kina minless an non stressful things like that. any recs???","aventure time, brave little toaster goes to mars, thumbelina, family guy, victorious, spongebob"
134,Just rop the name an the release year of one or more films to watch with no context (not reaing the premise or watching trailers),","
135,"I’m looking for movies like Waves that really show the highs an lows of teen relationships. College age is fine too. Young love, that sort of vibe.",Waves
136,"Hi,

I am looking for movies that explore toxic family ynamics. Particularly mother son relationships, where the mother is overly obsesse, controlling an manipulative. I know this is super specific but I see plenty of movies like this with mother an aughters but non with mother an son.

Thanks!",","
137,"This might be creative inspiration, or inspiration to better your life in some way, or some other form of inspiration you can think of!

I on't min what genre, I'm happy to branch out from the stuff I normally watch",","
138,"Recently saw Greenlan an thought it was great.  Checke out Moonfall, ha fun with that one too.  Watche Geostorm, which was ecent enough.  

The plot oesnt nee to make a whole bunch of sense, just looking for some absur isaster type films.  Any suggestions are appreciate!

Thanks for your time!","Geostorm, Greenlan, Moonfall, Greenland"
139,Something that's a goo time an easy to watch with a group who won't be fully paying attention. So far the best suggestion I've ha is ma max fury roa but I' like a few more options to consier/put to the group. Thanks in avance:),"ma max fury roa, Max Fury ROA"
140,"I haven't ha American Chinese foo in a long time an ecie to orer some. Some of my fonest memories as a ki are eating Chinese foo an watching classic martial arts movies. I'm looking for some goo ones that just have that vibe. Not too serious but just a great movie to watch while eating. 

For reference my favorites to watch when I was younger were police story, twin warriors, legen of runken master, an Of course enter the ragon. I am looking for movies with similar vibes. Thank you!","enter the ragon, twin warriors, legen of runken master, police story"
141,We have svarione.org for lotr reubs in italy. I was looking fo english equivalents of full movies reubbe in a comic key,","
142,"I love movies like The imitation game, Persian lessons, Lan of mine, inglorious bastars an of course The pianist. I really like movies like those set aroun harship an survival uring a worl war rather than the war itself (i.e. battlefiel movies). Any other movies you recommen that may fit that criteria? 

Have also watche more classics like the boy in stripe pyjamas, an Schinler's list an also like those too.","The imitation game, The pianist, Persian lessons, Lan of mine, the boy in stripe pyjamas, Schinler's list, inglorious bastars"
143,"I usually see the same ones recommene. I on’t go on here much so maybe i misse a few goo ones. I’ve looke through the sub wiki an I’ve seen some of them but the few I saw weren’t exactly what I’m looking for or in’t make me cry. My girl was efinitely the closest.

I’ve never crie at a movie so any suggestions that are a bit unique an not ones commonly suggeste woul be helpful. I usually prefer ones that on’t have a wholesome type of ening even if someone ie like Big Fish. I see requiem for a ream recommene too sometimes an that whole movie is more just epressing the whole time, not like a shocking sa ening for me. I like ones where it’s an unexpecte type of ening I guess. Like just ens really epressing.","requiem for a ream, Big Fish"
144,"Deciing between a man calle Otto or puss in boots! Obviously they’re willy ifferent but if anyone has seen both an has an opinion on which I shoul see tonight, let me know! Also I’m sure both are great so maybe like if you’re in the moo for ____ see this kina thing lol. Thanks!","A Man Called Otto, puss in boots, a man calle Otto, Puss in Boots"
145,"To comfort or spiritually awaken me that there's more to life than chasing money, girls an societal constructe pleasures. That we only live here for a short perio, time flies very fast an life is very unpreictable.  I've watche ""INTO THE WILD"" which exactly falls in what I've escribe.. Woul appreciate the suggestions.","Into the Wild, INTO THE WILD"
146,"Im a big fan of movies like The Gofather(s), Goofellas, The Irishman, etc. Pretty much anything mafia I am intrigue. Was curious if anyone ha any suggestions of mafia movies or even TV shows (not The Sopranos ive alreay binge it lol)","Goofellas, The Godfather, The Sopranos, Goodfellas, The Gofather(s), The Irishman, Sopranos"
147,horror movie that just shows the life or acts of a serial killer or epresse person an the stages they go through with just classical music. The music isplays the feelings of the character when committing an act. I thought it woul be cool to unerstan the music without wors to unerstan an know what it feels like on a personal level. Any suggestions I'm grateful for.,","
148,"I’m looking to watch some movies with a focus on shut ins, hikikomori, or people who never really leave their house or beroom. Any genre is fine but I woul love to see the focus be somewhat on the character an their reclusive lifestyle an how they interact (or choose not to interact) with the worl. Bonus points if there are a lot of shots of the room itself an it’s setup, collections of a person’s personal items,  trinkets, an trash. This is just a topic I’m curious about an I have never seen a movie that attempts to epict it artfully.

I think the closest thing I’ve seen in this realm is We’re All Going To The Worl Fair (2021) which I absolutely love, but Casey’s character oes leave the house an explore outsie. Tho the way this film epicts her behavior is the kin of thing I’m looking for, like a character stuy of one person in a very specific &amp; insular environment. 

please Lmk if there’s anything out there that coul fit this escription :-) thanks","We're All Going to the World Fair, We’re All Going To The Worl Fair, We're All Going To The World Fair (2021)"
149,I'm currently watching The Black Phone but I nee something else to watch afterwars. I' prefer a thriller or crime movie from last year or year before if it's really goo.,The Black Phone
150,Please give me goo suggestions on movies that will make me emotional &amp; have me balling my eyes out. It’s that time of month an I want to cry lmao,","
151,"Looking for movies or series that contain lots of NFSW scens  suggest me any NFSW movie or series that contain lots of NFSW scene an erotica
Category can be any type no limits 
To watch alone or with girlfrn.
Suggest me some goo one please
Thankyou",","
152,Cast Terry Crews an Kevin Hart as brothers.  Also Arnol Schwarzenegger an Danny Devito guest appearance as octors. Crews an Harts comeic acting together coul it make a great comey movie. I woul love to see that movie remae with those two.,"Terry Crews, Schwarzenegger"
153,"I feel like going on a journey into the unknown an iscover more films that o the same.

Films that explore mysteries an become mysteries themselves.   
Films that are ripe with atmosphere, symbolism, an an overall enigmatic aura.   
Films that prefer ream logic over realism an conventional narratives.  
Films that plunge into the surreal an the subconcious.  
Films that are unpreictable, where anything is possible.  
Films that are not afrai to confuse or leave questions unanswere.  
Films that are artistic, immersive, thought-provoking experiences.  
Films like the works of Davi Lynch or Alejanro Joorowosky, whom I'm both fairly familiar with.  


Other examples in this category which I truly enjoye woul be: Last Year at Marienba, Valerie an her Week of Woners, Hausu, Lips of Bloo, Inferno, Uner The Silver Lake, The Strange Colour of Your Boy's Tears, The Wil Boys. Thus sai, I' prefer nothing too abstract or isturbing like Begotten, but Horror is basically fine. Thanks to everyboy in avance, I'm really excite for your suggestions.","Inferno, Uner The Silver Lake, Valerie an her Week of Woners, Last Year at Marienba, The Strange Colour of Your Boy's Tears, The Wil Boys, Begotten, Hausu, Lips of Bloo"
154,"Looking for movies where a goo amount of screen time is set in a prison/jail environment. 

US or foreign movies welcome",","
155,The latest Thor movie comes min. Contrasting the rom-com Thor Jane stuff with Christian Bale noir horror. Or a TV example The 100 starting with some cringy YA stuff an then later on some intense fighting/eath.,Thor
156,"Obviously, lower income populations on't get the time or freeom to really explore an experience romance in the same way as more privilege folks. Any great films about lovers who triumphe espite tough circumstances?",","
157,"Not exactly sure how to escribe it but I have a craving for 1980s-early-2000s movies that give a generous slice of the countrysie throughout the film. 

I'm getting a bit sick of the fast an majorly green screene movies that only show a glimpse of nature. 

Don't min the subject much, an it's fine if it's newer too! 

Example films I've enjoye for this, Gallipoli (1981), Col Mountain (2003), Seven Years in Tibet (1997).

I' love recs or even a list of movies in this kina niche!

&amp;#x200B;

Thank you!","Seven Years in Tibet (1997), Col Mountain (2003), Gallipoli, Col Mountain, Seven Years in Tibet, Gallipoli (1981)"
158,"I’m sure this has been requeste many many times but hopefully someone can help me, I want a movie ti make me cry an I get closest when it’s well acte. Not necessarily how sa the situation is (eg. A ki ying of cancer) but more like interstellar or blae runner","interstellar, make me cry, Not necessarily, blae runner"
159,"looking for action movies woth protags/characters like One from 6 Unergroun

i also like michael bryce from the hitman's boyguar so earn essentially ryna reynols characters in action movies

other charas i like are five an klaus from TUA, an kaz brekker from six of crows.","the hitman's boyguar, TUA, 6 Unergroun, six of crows, Ryan Reynolds: Michael Bryce"
160,"Basically any coming of age that:

* Doesnt focus solely on one person an the entire group is a main character (one can be more major tho like in Stan by me)
* Isnt too profoun (Laybir type of coa)
* The school isnt the main focus in terms of plot/scenario 
* Isnt horror/fantasy (p.e IT is a great example of what Im looking for if it int have a killer clown lol)

Anything froom Goonies to Skins (tv but im running out of references) is fine!! Daze &amp; Confuse, Sisterhoo of the traveling pants, Breakfast club (I know they were in school but the vibes were there), etc","Sisterhoo of the traveling pants, Goonies, The Goonies, IT, Sisterhood of the Traveling Pants, Daze & Confuse, Dazes and Confused, The Breakfast Club, Sisterhood of the traveling pants, Stand By Me, Breakfast club, Stand by me, Dazed & Confused, Ladybird, Stan by me, Skins, Laybir"
161,"I'm talking about movies like Mean Streets by Scorsese (not really the first, but it i put him on a map for sure) or Reservoir Dogs by Tarantino, Eraserhea by Davi Lynch. Something like those","Eraserhea, Eraserhead, Reservoir Dogs, Mean Streets"
162,"I lately watche the maze runner trilogy an really like it, can you suggest me some movies with the same theme ( group of friens/people trappe an they try to escape, survive in an unknown place, if it inclues a maze again it woul be perfect ) or a group of friens trying to solve a mystery / a murer.
Thanks !","Maze Runner, MAZE RUNNER, maze runner trilogy"
163,I've been watching films mae from 1970s till the late 1980s lately. A large amount of these are wacky an comeic movies an features either Richar Pryor or Eie Murphy an I nee more recommenations. I'm open to goo ol action movies too.,","
164,"Hi. Horror buff here. 

As the title suggests, I'm seeking something that'll fucking terrify me. I've seen most (if not all) of the major ones, so looking for more obscure suggestions. 

Thank you!",","
165,"i'm looking for ACTION movies with MALE protagonists who are:

- sarcastic
- clean freaks ( oesnt have to be extreme ) Or hates bloo
- have unerlying trauma/PTSD

i prefer those like 6 unergroun where there's a main team, i like One's character

looking for movies that are 2000-2023 !!! 

also looking for movies where the main cast has names that are numbers like 6 unergroun an the umbrella acaemy

i enjoy comey too","6 underground, umbrella acaemy, umbrella academy"
166,"Hi all! I’m a high school english teacher an I have a iverse perspectives class that is finishing up The House in the Cerulean Sea, an I wante to pair it with a movie. Any suggestions?",The House in the Cerulean Sea
167,"If I've alreay watche it, I'll let you know, an you can recommen me something else.

Black an white or in color is fine.

Animate, Stop-Motion, or Live-Action is fine.

English speaking or non English speaking movies is fine, as long as there are English subtitles available.

Feel free to recommen well known movies, not as known, or anywhere in between.",None
168,"I have been going through Scorseses Film Catalogue an I wanna know what other movies of his I shoul watch. So far I have seen *Taxi Driver*, *GooFellas*, *Casino*, *Shutter Islan*, *The Wolf of Wall Street*, an lastly *The Irishman*. I love all of these movies, an woul love to see more by him. What else am I missing?","Casino, The Wolf of Wall Street, Shutter Islan, GooFellas, The Irishman, Taxi Driver"
169,"&amp;#x200B;

I remember the ening where the female protagonist finally fins the man who, I believe, was hiing in her house an killing / kinapping others in it. Through a hole in a wall, I think, but I'm not sure. It was uring morning or afternoon.

Shortly after there is a scene in which they struggle an she is oing something with a Clothes Hanger-- kills him with it? I on't remember...","Clothes Hanger-, female protagonist"
170,"Lately I have become very intereste in Asian movies having watche some like The Parasite, The Gangster, The Cop, The Devil, Memories of murer...

So I woul like to have more movie recommenations to watch. (regarless of the genre, it can be horror, action, aventure, romance, rama...)","Parasite, Memories of murer, Memories of Murder, The Gangster, The Devil, The Cop, The Parasite"
171,"Unerstan the review is low, an the ""copy story"" from  Dean Koontz's novel ""Intensity"" . Out of all horror movie I saw, this one are on the top.

Anything similar to this one?","Intensity, copy story"
172,"I grew up on weir low buget horror movies from my local vieo rental place. I'm pretty sure I rente every title in their horror section an I've got a huge soft spot for them. An as I was efinitely renting them at an inappropriately young age, I on't remember what many of them were calle. Please recommen me some of your favorites.",","
173,I've got a short film pitch coming up next month an I' like to take a look at some short films that feel a lot longer than they actually are. Suggestions?,","
174,"So i'm a big horror fan, an im use to horror movies. The only movies that are pretty much scaring me to this ay are : paranormal activity 3, paranormal activity tokyo night, host (2020). I havent been really scare for years, horror movies arent oing anything to me anymore. I nee you guys to suggest me movies that will scare me, that i won't forget.","host, paranormal activity 3, paranormal activity tokyo night, host (2020)"
175,This movie was unexpecte an great. I am looking for something that has a twist like this movie oes. The setting is simple it all happens in one appartment an it's about the lottery.,","
176,"Hi, I'm looking for movie suggestions for an ol timer who basically only watch pawn shop an alaska shows about people oing ik stuff in alaska or smth. 

Preferably not classic or recent american/hollywoo movies, otherwise he prob say '*I watche those alreay*' but in the same veins of very known american/hollywoo westerns an action movies, because otherwise he won't watch anything. What I mean is no animation, no bollywoo musical an ef no anime as my pops oesn't even know the ifference between those an isney '*cartoons*'.

I trie looking for movies of the same era as the 80's classics, but not famous enough for him to have watche, although I'm not initiate on the B movie circles... All I got so far was Roar 1981 an Lion of the Desert. (Why both have lions on it ik in't notice til now...)

&amp;#x200B;

Anyway anything that helps will be very much appreciate. Specially if I iscover some hien gem Cheers a lot.","Roar, Lion of the Desert, Roar 1981, pawn shop"
177,"I'm looking for recs in movies that offer a similar vibe to Sofia Coppola's *Lost in Translation*. I'm looking for movies that offer a similar feeling of alienation, reamlike woner an isconnection, as if you're watching the worl go by aroun you. Bonus points if the movie also has a great sountrack.

Sorry for the grammar, English is not my first language.",Lost in Translation
178,"I poste a few months ago asking about the same question an whether there were any meloramas in any film inustry, particularly, Hollywoo, which are just like Unfaithful. For those of you who have seen it, you know the emotional an ramatic an serious tone the movie maintains in a thrilling movie surrouning infielity. The responses I receive inclue Closer, Chloe, an Little Chilren, none of which remotely fit the bill (ue to their lack of orchestral sountrack especially).

I can’t seem to believe that there are no other movies out like Unfaithful which have a eep/ramatic orchestra sountrack an a serious meloramatic tone throughout the movie. Essentially, I’m asking if there are any more just like it?

(Only one other movie is similar an that is Presume Innocent which also maintains a very meloramatic tone with John William’s monothematic ramatic score playing throughout.)","Unfaithful, Little Chilren, Presume Innocent, Closer, Chloe"
179,"Can you name a movie that involves a murer mystery or some sort of crime involve which nees to be solve by the en? Basically, any movie that involves suspense an woul be best if it has some murer/crime mystery.",","
180,"Tell me, I'm going to make an eucate guess an bet that most of the users in the sub are at least intereste in film, be as hobby, as a living, or just a very special part of life. So, what movies mae you love them? Fall in love with cinema, which movie, irector, actor, mae you that? An why?",","
181,"I've been binge watching westerns recently (on't know why) I love all ollars movies an watche basically all Clint Eastwoo movies (outlaw Josey Wales, pale rier etc)","The Outlaw Josey Wales, pale rier, outlaw Josey Wales, Pale Rider"
182,"I’ve seen a few, but maybe I’m missing some. Primarily looking for movies set after 9/11 but you can mention stuff from before as well.

Can be ol or new an from any country.",9/11
183,"After watching misommar, I’ve become a lot more open to the horror genre. I on’t really like the friay the thirteenth frey krueger type horror though, i consier those more of “scary movies” even if they’re uner the genre of horror. i want horror movies that are genuinely HORRIFYING if you know what I mean. the ones that i’ve seen that are similar to what i’m looking for are: 

misommar, the menu, nope. thank you in avance","nope, misommar, the menu, friay the thirteenth"
184,"I’ve really been into Asian cinema this past year (oesn’t just have to be Korean or Japanese), an I’ love some recommenations. Some of my favorites have been train to busan, the han maien, Alice in borerlans (tv is cool too, if it’s cool in this sub ), haunte asylum, etc.. we efinitely lean more towars ark genres but can appreciate it all! TYIA!","haunte asylum, the han maien, train to busan, Alice in borerlans"
185,"Just watche movies like **Against The Ice**, **In the Heart of the Sea**, T**he Lost City of Z**, an **Arctic** an i'm loving every single of them. Now i'm in esperate nee for a recommenation in similar ones.

Been searching the internet for a while, but most recommene just ol movies, which is frankly not my cup of tea. 

The iea of exploring or getting involve in something that's really new or not familiar with civilizations of mankin (like new lans, antarctic an arctic, or even new place in space) in general is exciting to watch. I'm currently searching for movies in a similar nature, maybe some fiction like star trek woul be alright","star trek, Against The Ice, In the Heart of the Sea, Arctic, The Lost City of Z"
186,"So sci fi is my favorite genre an i am wonering if there is any others besies ones I'm alreay looking forwar to. I'm looking forwar to guarians of the galaxy vol 3, ant man an the wasp quantumania, rebel moon, une part 2, an transformers rise of the beasts.","an transformers rise of the beasts, transformers rise of the beasts, guarians of the galaxy vol 3, ant man an the wasp quantumania, ant man, une part 2, rebel moon, the wasp quantumania"
