,Input.selftext,Answer.crowd_input
747,looking for a 1960s southern gothic movie starring bette davis and olivia de haviland,","
748,show me the lindsey anderson movies starring malcolm mcdowell,","
749,what movie is r2d2 in,","
750,show me an action movie starring clint eastwood,","
751,please show me a list of busby berkley movies,","
752,which actor starred in the disney movie gus,","
753,in which film did keira knightley stars as a pirate lord,","
754,tell me the names of all critically acclaimed horror films,","
755,what is the best movie of all time rated by viewers,","
756,show me movies about the military,","
757,find a romantic comedy starring daryl hannah,","
758,what was the best football movie ever made,","
759,show me a movie with lots of sky diving in it,","
760,have any movies been made about robot ninjas,","
761,what animated movies were nominated for oscars,","
762,please find the robert altman movie set during the korean war,","
763,what are the most recent julia roberts romance films from the last four years,","
764,show me the french film about a postman who is obsessed with an opera star,","
765,find a comedy starring groucho marx,","
766,where is the quote heres looking at you kid from,","
767,show me movies about shark attacks,","
768,find me the release date of catching fire,","
769,what is the movie made by stephen stieldberg,","
770,what movies feature the character jeeves,","
771,i want to see a preview of george clooneys latest movie,","
772,what movie has liev shrieber and sean william scott in it as hockey players,","
773,what film directed by zack snyder shows the forces of king leonidas,","
774,what is the best movie trailer,","
775,which 1982 science fiction film was directed by steven lisberger,","
776,show me a movie about a dog starring jennifer aniston,","
777,show me the film based on a stephen king book about the flu killing most of humanity,","
778,did dean koontz direct a movie based on his books,","
779,show me the movie where cary grant has two aunts that poison and bury old men,","
780,list the romance films directed by james cameron rated must see,","
781,what live action movie based on action figure toys was released in 2009,","
782,is there an action film with katherine hepburn in it,","
783,whats the movie with the line doomed is your soul and damned is your life,","
784,who directed who framed roger rabbit,","
785,find me movies about balloon races,","
786,show me a 1990s movie about children and an attic,","
787,find the movie about gangsters with jack nicholson and matt damon,","
788,what was the hit song from the movie armageddon,","
789,did patrick stewart appear in a romantic motion picture,","
790,show me all the movies brad pitt has been in,","
791,did the treat williams appear in a film,","
792,what movies directed by carlos saura use typical spanish dances,","
793,what is the newest version of batman,","
794,which actor potrayed jackie robinson,","
795,who was the director of target with gene hackman,target
796,what year was the goonies released,the goonies
797,which well received film features the songs come what may and your song,","
798,whats the best song to end a scary movie,","
799,show me a list of spy movies from the 1960s,","
800,what was the plot of sudden death,","
801,looking for a movie about a huge killer snake in the amazon,","
802,what movie has the highest viewers rating,","
803,speed racer was released in what year,speed racer
804,look for a movie filmed in california,","
805,i am looking for a movie starring jada pinkett about bank robbery,","
806,when is johnny depps new movie coming out,","
807,show me a linda hunt movie,","
808,are there any r movies with johnny depp,","
809,how many stars did scarface recieve in reviews,scarface
810,find me the action movie seven starring brad pitt,seven
811,what were the viewer ratings for the movie world trade center,","
812,find me a movie with sandra bullock and keanu reeves,","
813,did george lucas direct any well reviewed comedies,","
814,find a comedy about basketball,","
815,find the comedy with matt dillon as a fired bartender and liv tyler is his girlfriend,","
816,i want 1980s romance movies,","
817,what is beetlejuice rated,beetlejuice
818,whats a monty python flick about jesus,monty python
819,show me a musical from the 1940s,","
820,show me the movie about strange men who repossess cars starring emilio estevez,","
821,list any shirley temple movies playing today,","
822,tell me the title of the movie about ghosts starring nicole kidman,","
823,what movie used the song the good ship lollipop,","
824,find movies with halle berry,","
825,what was the last movie released in 2011,","
826,show me a movie with the song making christmas,","
827,did elvis play a singer in a picture,","
828,is there a movie where a little girl enters a beauty contest,","
829,show me the judd apatow film about a middle aged mans journey to finally have sex,","
830,what year was pretty woman released,pretty woman
831,show me a movie with the song somewhere over the rainbow,","
832,please find the comedy starring queen latifah and steve martin,","
833,did thomas newman compose the soundtrack for edward scissorhands,","
834,has rubert grint made any movies other than harry potter,","
835,is there a sequal to crash of the titans,","
836,find me the movie where someone says i love the smell of napalm in the morning,","
837,which actor starred in the fish that saved pittsburgh,","
838,show me a comedy from the 1980s with billy crystal,","
839,find the movie starring jack lemmon and alan arkin as real estate salesmen,","
840,looking for a 1990s movie starring robert redford and sidney poitier about a decoding device,","
841,find me a comedy with ted danson,","
842,find me a film with the song under the sea,","
843,how many movies has al pacino been in,","
844,find a boxing movie,","
845,that is the mpaa rating for mutiny on the bounty,","
846,find me a movie with pirates,","
847,what romance movies came out in the 90s,","
848,what movies has edward norton been in,","
849,when was maverick released,maverick
850,what movie was harpo in with oprah winfrey,","
851,what movie won the most awards,","
852,whats the james cameron movie with the blue aliens,","
853,show all independent films starring a list celebrities,","
854,when is american reunion being released,american reunion
855,show me a pg 13 movie about aliens,","
856,what movies has alfred hitchcock been in,","
857,when does that jonah hill movie where he is a cop come out on dvd,","
858,find the movie about broadway starring roy scheider,","
859,is there a burt lancaster political movie,","
860,what steven speilberg movies came out in 1980s,","
861,find meg ryan films from the 1990s with angels,","
862,show me funny movies from 1983,","
863,name a science fiction film from 1961,","
864,show me harry potter movies from the 2000s,","
865,what are roger eberts best films,","
866,name the theme song for teen wolf,","
867,what movie featured drew barrymore in her breakout role,","
868,find the movie with sean connery as an fbi agent,","
869,i want a murder mystery movie from 1995,","
870,where was red tails filmed,red tails
871,how many comedies were released in 1980,","
872,are there any movies about the korean war,","
873,who is doing the soundtrack for prometheus,","
874,i want a 1970s sailing flick,","
875,what year was mystic pizza released,mystic pizza
876,show me a list of r rated movies about aliens,","
877,were there any r rated animated films made in the 80s,","
878,show me a movie starring marlon brando and val kilmer,","
879,did christopher nolan direct any highly regarded action films,","
880,what movies from the 90s did jeremy irons star in,","
881,what movie has all eddie vedder songs in it,","
882,whats a rock hudson flick from the 1960s,","
883,find the award winning 1970s movie where paul newman and robert redford are con artists,","
884,are there any r rated movies with pirates,","
885,look for a movie with jessica alba,","
886,did sacha baron cohen have a show,","
887,who starred in thw gumball rally,","
888,i want to find a movie directed by michael moore,","
889,find movies from the 1990s with strong female leads,","
890,find me a gangster movie with robert deniro,","
891,show me a movie with daniel radcliff,","
892,who played in psycho,","
893,what police film had a main character called popeye doyle,","
894,show me the spike lee movie about a serial killer,","
895,what movies from the 90s did clint eastwood direct,","
896,what movies was leonardo dicaprio in during the 1990s,","
897,name a flick from the 1980s with the word heat in the title,","
898,best jim carrey quotes,","
899,who is the star of twilight,","
900,what is a 1960s film about a charles dickens character,","
901,when is the last season of desperate housewives going to air in europe,desperate housewives
902,what movie has a character called the robot,","
903,what are some good animated films,","
904,find the 1960s movie about a group of schoolboys marooned on an island,","
905,show me richard gere thriller movies,","
906,find me the soundtrack for scarface,","
907,show me documentaries about birds,","
908,what year was psycho released,psycho
909,find me all movies directed by cameron crowe,","
910,are there any r rated movies about zombies,","
911,name of movie where ring is thrown into volcano,","
912,show me arnold schwartzenegger movies with robots,","
913,show me the night of the lepus,","
914,tell me the top ten romance movies of all time,","
915,find a review for coach carter,","
916,what films has john travolta directed,","
917,what is the best action movie this year,","
918,who directed the bee movie,","
919,what is the mpaa rating for necessary roughness,","
920,who directed one flew over the cuckoos nest,","
921,whats a monty python flick about fish,","
922,i would like to see alien movies from the 1950s,","
923,show me a movie with the muppets,","
924,what is the most positively reviewed romance movie,","
925,what are some pg 13 romantic comedies,","
926,what m night shyamalan movie got the best reviews,","
927,who starred in the surfing movie north shore,","
928,what movies did kevin smith direct,","
929,whats the name of that movie with the song missing you,","
930,find a review for bend it like beckham,","
931,what films stars both nicole kidman and will ferrell,","
932,are there any movies directed by peter jackson except lord of the rings,","
933,show me the mel brooks western movie,","
934,name the 2011 film starring mila kunis and justin timberlake,","
935,find a 1980s movie with danny glover,","
936,in which 2004 film directed by mel gibson portrays the last hours in the life of jesus,","
937,which film stars both leslie nielsen and anna nicole smith,","
938,what was the first dirty harry movie,dirty harry
939,what comedys had eddie murphy play a big role in,","
940,what is the plot of mad max,","
941,who will replace johnny depp in the pirates of the carribean movies,pirates of the carribean
942,name the the 2010 movie directed by ben affleck,","
943,what is a horror film released in 1987,","
944,i want to find the movies with music by the bee gees,","
945,find the suspense movie starring anthony hopkins and ryan gosling,","
946,who directed the film 300,","
947,what film had the song the power of love,","
948,are there any r rated cartoons,","
949,looking for the controversial mel gibson film about jesus,","
950,shoe me movies starring johnny depp,","
951,what david fincher movie had a soundtrack by the dust brothers,","
952,who plays cindy in the scary movie films,scary movie
953,are there any movies starring halle berry before 1997,","
954,how many people actually like to review boring movies,","
955,is the hunger games a violent movie,the hunger games
956,looking for the movie with a black man as an alien directed by john sayles,","
957,find a trailer for chariots of fire,","
958,get a socrates movie,","
959,what was charlie sheens first movie,","
960,are there any pg 13 movies about gay romance,","
961,did critics rate any of the alien movies as must see,alien
962,what year was saving private ryan released in theaters,saving private ryan
963,is there a trailer out for advengers yet,advengers
964,find the 1990s movie with a disco soundtrack about a male porn star,","
965,give me a list of mike myers comedies in the 90s,","
966,show me a james bond movie that starred timothy dalton,","
967,show me a list of movies starring kristen stewart as bella,","
968,show me a horror movie from the 1950s,","
969,was christin slater in the movie billy jean,","
970,find all movies starring elvis presley,","
971,what is the scariest horror movie from the 90s,","
972,what g rated movies were released in 2010,","
973,what was the name of the comedy where cary elwes plays robin hood,","
974,did russel crowe appear in a movie about a mathematician,","
975,can you find me a pg 13 movie about a bank robbery,","
976,what year did wild wild west come out,wild wild west
977,is there a documentary about a kiss tribute band,","
978,where was lord of the rings filmed,lord of the rings
979,give me rated r movies that came out in 1995,","
980,what movies are rated pg 13 that adam sandler has acted in,","
981,which actor do you prefer will smith or denzel washington,","
982,show me a cameron diaz movie from the 90s,","
983,what year was jaws released,jaws
984,find me all movies based on tv shows released in the last 5 years,","
985,what film features the song kiss from a rose by seal,","
986,was there a christopher reeves time spanning drama film,","
987,how many movies did woody allen make,","
988,list movies that are rated pg and involve car chases,","
989,find me a well reviewed comedy starring john candy,","
990,who directed the bedford incident,","
991,find a movie with katherine hepburn and spencer tracy,","
992,im looking for a movie about werewolves and vampires,","
993,are there any adult animated movies available,","
994,show me disney dealing with aging movies,","
995,show me a movie starring sigourney weaver,","
996,find a movie with natalie wood and christopher walken,","
997,show me what films were directed by the wachowski brothers,","
998,show me a childrens movie by disney with a character named simba,","
999,which nc 17 film had the highest box office gross,","
1000,find me the best mafia movies,","
1001,in what genre is the movie par 6,","
1002,is there a documentary about the sports agency industry,","
1003,what films use the song zippity do da,","
1004,did marilyn monroe star in any drama films,","
1005,find childrens movies about puppets,","
1006,looking for an old black and white british movie called the holly and the ivy,","
1007,has johnny depp directed any movies,","
1008,play a trailer from the others,","
1009,the hunger games star actress,hunger games
1010,who is the director of the breakfast club,","
1011,looking for the film with kathy bates as the deranged fan of a captive writer,","
1012,what is the plot of happy gilmore,","
1013,are there any pg 13 movies featuring john travolta,","
1014,who starred in switchuing goals,","
1015,show me 1960 horror movies with zombies,","
1016,who said nobody puts baby in the corner,","
1017,show me movies based on tv shows,","
1018,what movie has a fight scene with kim kardashian and carmen electra,","
1019,in what year was crimson tide released,crimson tide
1020,show me the peter greenaway movie based on the tempest,","
1021,are there any r rated movies about vampires,","
1022,who played both boys in the errol flynn movie the prince and the pauper,","
1023,help me find a movie with the song when you really love a woman,","
1024,find an action flick with john wayne,","
1025,tell me a movie made by peter jackson,","
1026,name the disaster movie featuring bill paxton and a small role by phillip seymour hoffman,","
1027,find me the movie with the character katniss in it,","
1028,show me a 1980s movie starring steve martin,","
1029,find the melissa leo movie about smuggling illegals across the border,","
1030,did clint eastwood ever play a cowboy,","
1031,show me a movie with drew barrymore and adam sandler,","
1032,find the movie hans conried and a gigantic piano keyboard,","
1033,im looking for an r rated movie starring tom hanks,","
1034,find the movie gummo released in the 1990s a punkcult movie,gummo
1035,the song hold on by 90s band wilson phillips is used in which film soundtracks,","
1036,find a review for the blue bird,","
1037,what movie features keanu reeves as an exorcist,","
1038,did jessica alba made any new movies after spy kids 4,","
1039,find a viewers review for the fast and the furious,","
1040,show me an lee meriweather film about a torch singer,","
1041,what film featured mel gibson danny glover and jet li,","
1042,which movie features jack blacks voice as a panda,","
1043,what movies has jason segel been in,","
1044,find me the movie that has darth vader in it,","
1045,did josh radnor direct any pg 13 movies,","
1046,find the movie directed by james cameron about blue people on another planet,","
1047,in what year was kid galahad released,kid galahad
1048,how many movies featured both kirk douglas and michael douglas,","
1049,what movie grossed the most amount of money opening weekend in 2011,","
1050,name the last charlie boyer movie,","
1051,which was the first harry potter movie in the series,harry potter
1052,rated r comedy movies 1990s,","
1053,what was the name of the stepmother played by allison janney in juno,","
1054,a 1980 well rated pg 13 that involves fighting of any kind,","
1055,a 1990 rated g film that has actor marcus testory in it that received a nine rating that is film noir,","
1056,a nc 17 movie with james horan in the past two decades,","
1057,a film that was highly recommended from 1960 starring marilyn monroe,","
1058,a highly liked teen movie with jim carrey please,","
1059,a list of sci fi movies in 2010,","
1060,a mediocre movie with a computer plot with a pg 13 rating,","
1061,a movie released in the past ten decades with a nc 17 rating starring kevin anderson was liked a lot,","
1062,a movie that was directed by tennyson bardwell that is rated pg 13 that is mockumentary,","
1063,a movie with actress judy davis was made prior to the past six decades would be,","
1064,a must see romance film from 1990 with a pg 13 rating,","
1065,a rated g very popular william lustig family movie,","
1066,amanda fire directed this family film,","
1067,andrew lane produced what four star biography about a prisoner of war,","
1068,any g rated movies with violence come out in the past decade,","
1069,any drama films about becoming a champion,","
1070,any film noir film from 1990 starring maria bello,","
1071,any good harrison ford thrillers released,","
1072,any good r rated action movies from the 1980 s out there,","
1073,any good actors in the movie double dagger,","
1074,any highly recommended movies for the 1980 s about military guerrilla warfare,","
1075,any rated r small town 1990 s movies that stars vanessa marcil,","
1076,any science fiction movies with billy wilder,","
1077,any war type rated r movies set in the 1940 s that received five stars,","
1078,are there any nc 17 kids movies from the past four decades,","
1079,are there any r rated children movies,","
1080,are there any r rated romance movie released in 2010 with four stars,","
1081,are there any scarlett johansson drama movies from the 1990 s,","
1082,are there any action movies about terrorist that are pg 13 being released this year,","
1083,are there any adventure films directed by sofia coppola coming out soon,","
1084,are there any animation films from 2010 with actress cybill shepherd,","
1085,are there any biography films about the 1930 s directed gregg sacon that are unrated and produced during the last six years,","
1086,are there any crime movies with jennifer love hewitt in them,","
1087,are there any documentary movies about peoples rights,","
1088,are there any family movies tarring hettie macdonald in the last five decades,","
1089,are there any independent films directed by orson welles,","
1090,are there any independent movies from the 2010 s,","
1091,are there any movies about the lion king featuring seth green,","
1092,are there any movies on affairs in the past year,","
1093,are there any movies starring jodie foster with good ratings,","
1094,are there any movies starring stan laurel and oliver hardy from the last two years available,","
1095,are there any movies with children,","
1096,are there any new mockumentary films coming out soon,","
1097,are there any scary 1970 s movies starring sissy spacek,","
1098,are there any scary g rated films starring kelly ripa from the 1990 s,","
1099,audrey hepburn starred in this pg 13 crime film,","
1100,auto recovery,","
1101,barry jenkins directed the greatest r rated mystery film during the last three years,","
1102,billy warlock starred what sport movie in the 1980 s,","
1103,can you give me a list of r rated scary movies from the year 1980,","
1104,can you help me find a documentary rated pg that received two thumbs up from the 1960 s directed by aaron katz,","
1105,can you help me find a film noir rated pg 13 starring richard jaeckel,","
1106,can you help me find an r rated gangster movie about a dark past from the last four years with tom berenger in it,","
1107,can you help me find some good comedy movies,","
1108,can you list all the mediocre adventure movies made in the last two years,","
1109,can you name a western movie rated r,","
1110,can you please recommend a fantasy movie about the occult from the 1980 s,","
1111,can you please recommend a good fantasy movie that came out last year,","
1112,can you provide a list of movies that james dean was in,","
1113,can you recommend a pg 13 rated military movie from the year 2000,","
1114,can you recommend a classic crime movie made in the 1980 s starring clint eastwood that has a pg 13 rating,","
1115,can you recommend a movie with a rating of five that stars sigourney weaver,","
1116,can you recommend an horror movie that pauly shore was in,","
1117,can you show me where i can find a movie about violence from 1970 that was directed by grace lee,","
1118,can you tell me the name of a movie i saw in the late 90 s that was set in a futuristic utopia and it was rated r and the director was i think something like steve stamatiadis,","
1119,could you direct me to where i can find an r rated romance movie,","
1120,could you help me find a movie starring larenz tate that was made in the past eight years that was rated well,","
1121,could you recommend some movies about marriage that are r rated,","
1122,d b sweeney stared in a pg 13 musical in the 1950,","
1123,dating 1980 s movie that was rated pg 13 and was rated four stars,","
1124,details about scooby doo and the loch ness monster kids movie,scooby doo and the loch ness monster
1125,did al lewis play in an r rated highly rated biography in 2010,","
1126,did alfred hitchcock ever direct a documentary,","
1127,did bette davis ever star in a movie directed by martin scorsese,","
1128,did brian de palma direct any movies for children,","
1129,did chad martin direct a western in the 1990 s,","
1130,did clint eastwood direct inception,","
1131,did clint eastwood direct any historical movies in the 2000 s,","
1132,did damon wayons star in an unrated nine stars movie in 1940,","
1133,did david fincher direct a movie about war in the 1990 s,","
1134,did david hyde pierce ever star in a movie involving abandonment,","
1135,did david lean direct any fantasy movies in the 2000 s,","
1136,did david lean ever direct a drama in the 1980 s,","
1137,did dylan neal do a movie child movie,","
1138,did francis ford coppola direct a thriller in the 1970 s,","
1139,did francois truffaut direct any documentary films,","
1140,did frank capra do and ok animated movie,","
1141,did frank capra ever direct an r rated musical,","
1142,did george carlin star in any r rated or family films in the last decade,","
1143,did george lucas direct a fantasy movie in the 1980 s,","
1144,did hal mohr direct a movie about gags in the 1950 s that was given six stars,","
1145,did hayao miyazaki ever direct and films for children,","
1146,did jacob ransom have a movie about fear of marriage that was rated seven in the last five decades,","
1147,did james stewart act in any highly recommended film noir movies,","
1148,did jerry obach do any shorts,","
1149,did jerry obach ever do an adventure movie,","
1150,did john huston direct a mystery film,","
1151,did leonardo dicaprio star in a film directed by brian de palma,","
1152,did lucille ball appear in any pg 13 movies in the 1990 s,","
1153,did neil h weiss direct a murder film in the past ten years that got eight stars,","
1154,did nick stagliano direct any pg 13 mystery movies in the 1980 s rated around eight stars,","
1155,did orson welles ever direct a romantic comedy,","
1156,did paul mazursky direct a film about redemption in the past two years,","
1157,did robby benson direct a short movie that was rated eight stars in 1990,","
1158,did robert zemeckis ever direct a fantasy movie,","
1159,did roman polanski direct any pg 13 thriller movies that were highly liked,","
1160,did ron howard direct a science fiction film,","
1161,did ron howard ever direct a musical in the 1960 s,","
1162,did ron howard ever direct an independent film,","
1163,did sam raimi direct any mystery movies that are rated r in the 1990 s,","
1164,did sergio leone direct any fantasy movies that are rated pg 13,","
1165,did sergio leone ever direct a movie in the children genre,","
1166,did spike lee direct any adventure movies,","
1167,did spike lee ever direct an avant garde film,","
1168,did stanley kubrick ever direct any romantic comedy films,","
1169,did stephen j anderson star in any sci fi movie during the 1950 s,","
1170,did steve barron direct any comedy movies that people thought was all right,","
1171,did steven shainberg star in a very popular mystery movie that was rated r,","
1172,did steven soderbergh direct a mockumentary,","
1173,did steven soderbergh direct an r rated film noir movie,","
1174,did steven spielberg direct wall e,","
1175,did steven spielberg direct any horror movies in the 1980 s,","
1176,did terence fisher direct a movie about first love in the past two decades,","
1177,did the shining receive a rating of five stars and above,the shining
1178,did tom jones starring in pg 13 film centers on human in the past eight years,","
1179,did vivien leigh act in any historical movies in the 1950 s,","
1180,did director stefan popescu make a movie about veganism,","
1181,did you enjoy pink flamingos,","
1182,did you enjoy the worlds greatest dad,","
1183,did you love mamma mia,","
1184,did you see custers last man i survived little big horn,","
1185,do the coen brothers ever direct action movies,","
1186,do you carry the movie the a team,","
1187,do you happen to carry the movie gold diggers of 1933,","
1188,do you happen to know where i might find the movie every which way but loose,","
1189,do you have colossus the forbin project,","
1190,do you have a debra winger adventure movie with an average ratings of a six from the last seven decades about degradation,","
1191,do you have a pg 13 history film about a political state that stars elizabeth taylor,","
1192,do you have a comedy from the 1940 s directed by joey stewart,","
1193,do you have a decent film from the 2010 s that stars randolph mantooth,","
1194,do you have a fantasy film from last year directed by randy barbato,","
1195,do you have a film from the 1950 s liked by many people that starred william forsythe,","
1196,do you have a must see war film rated pg 13 from the past seven decades,","
1197,do you have any kenneth branagh movies from the 1980 s,","
1198,do you have any nc 17 rated 1980 drama movie starring cameron starman,","
1199,do you have any pg 13 family films from the last two years that was liked by many and starred chris noth,","
1200,do you have any information about the movie buying the cow,","
1201,do you have any sci fi movies that were directed by jon knautz from this year,","
1202,do you have that really popular romance flick from the 2010 s rated pg 13 directed by robin blazak,","
1203,do you have the 1970 s r rated horror film starring robert deniro,","
1204,do you have the la monte edwards science fiction film from the 1970 s about shapeshifting,","
1205,do you have the pg 13 movie from 1970 about a road trip directed by karen harley thats good for a laugh,","
1206,do you have the average pg 13 film starring joaquin phoenix,","
1207,do you have the film the loss of sexual innocence,","
1208,do you have the gangster film from the past four years directed by rob hardy about a missing prisoner,","
1209,do you have the movie key largo,","
1210,do you have the movie spawn,","
1211,do you have the movie suspiria,","
1212,do you have the movie the level,","
1213,do you have the sports film rated nc 17 and directed by erik canuel,","
1214,do you know an unrated really popular biography set in brooklyn,","
1215,do you know of the r rated movie starring mark dacascos in a war movie during the vietcong vietnam that was liked by many,","
1216,do you know the title to the documentary that rutger hauer appeared in some time around 1950,","
1217,do you know where i can find a nc 17 rated extraterrestrial movie directed by martin mcdonagh,","
1218,do you know where i can find a pg sports movie from the 1940 s that was directed by wych kaosayananda,","
1219,do you know where i can find the movie paradox of the andes,","
1220,do you know where i might find the movie must love death,","
1221,do you know where id be able to find an nc 17 rated 1970 movie of the tale genre,","
1222,do you know where id be able to find an good r rated movie about a family that was directed by josh stone,","
1223,do you know where to find the movie welcome to mooseport,","
1224,do you know who starred in hollywood daffy,","
1225,do you think youd be able to help me find the penguins of madagascar operation dvd premier,","
1226,does a j langer have a g movie,","
1227,does adam sandler appear in a crime film,","
1228,does julia roberts have a voice in wall e,","
1229,does a 1970 s john byrum horror movie that got seven stars exist,","
1230,eddie cibrian starred in what merit badge tale that people found ok made in the past four years,","
1231,find the shining movie which director was john huston,the shining
1232,find a 1950 nc 17 car chase movie directed by marcus warren,","
1233,find a 1990 s film about a curse,","
1234,find a pg 13 western movie rated seven stars and above,","
1235,find a cowboy movie rated pg starring bridget fonda,","
1236,find a critically acclaimed 1980 sci fi film,","
1237,find a fantasy movie,","
1238,find a film noir rated pg 13,","
1239,find a film titled shut,","
1240,find a film with the title suicide killers,","
1241,find a military film from the last six years starring stacey dash,","
1242,find a mockumentary movie with the plot being societal issues,","
1243,find a movie called crossover,","
1244,find a romantic comedy starring hugh jackman,","
1245,find a sci fi film,","
1246,find a thriller movie with lies being the plot,","
1247,find any biography movies from the last two decades,","
1248,find average science fiction movies rated g from 1990,","
1249,find me a fantasy movie made withing the past eight decades,","
1250,frank darabont made good movies around 1950 s any good war films by him,","
1251,give details of the movie wall e starring hugh jackman,wall e
1252,give me info about bright young things,","
1253,give me more details about the movie top gun,","
1254,had david lynch ever directed an avant garde movie that is rated r,","
1255,has andrei tarkovsky directed any rated g biographical movies that got two thumbs up,","
1256,has billy wilder directed and rated r horror films,","
1257,has bobbie phillips been in a r rated war movie that got a rating of seven in the last six decades,","
1258,has charlton heston ever been a voice in an animated movie,","
1259,has charlton heston ever been in a musical,","
1260,has david denneen directed a rated r sci fi on the past decade,","
1261,has david lynch ever directed any historical films,","
1262,has francois truffaut ever directed a disaster movie,","
1263,has frank capra directed any action movies that received two thumbs up,","
1264,has frank darabont directed any westerns,","
1265,has fritz lang directed any teen movies in the past year,","
1266,has gary cooper been in any good historical films,","
1267,has gary cooper ever been in a movie directed by steven spielberg,","
1268,has guillermo del toro ever been in a children movie,","
1269,has ingrid bergman ever won an oscar,","
1270,has james dean acted in any drama films,","
1271,has jennifer connelly ever been in a critically acclaimed nc 17 movie,","
1272,has john huston ever directed any avant garde movies that are rated pg,","
1273,has john ford ever directed and biographical movies,","
1274,has judi dench been in an adventure movie,","
1275,has julie andrews ever been a rated r film noir movie,","
1276,has kevin spacey appeared in an comedy films that are rated g,","
1277,has kevin spacey ever been in a romantic comedy,","
1278,has michael keusch directed any rated r musicals in the past ten decades,","
1279,has michelangelo antonioni ever directed a musical,","
1280,has michelangelo antonioni ever directed a western,","
1281,has nicole kidman ever been in a thriller movie,","
1282,has orson welles directed and drama movies with a pg 13 rating,","
1283,has pascal franchot directed any really popular animation in the last two years,","
1284,has paul newman been in a thriller that received eight stars and above,","
1285,has phylicia rashad done any r rated action movies in the past six years,","
1286,has quentin tarantino ever directed a horror film,","
1287,has ridley scott ever directed an avant garde movie,","
1288,has ridley scott ever directed an independent film,","
1289,has sergio leone directed any animated films,","
1290,has sofia coppola ever directed a thriller movie,","
1291,has traci bingham made any movies in the last five years,","
1292,has woody allen ever directed a teen movie,","
1293,has there been an adventure pg 13 movies in the last two decades that mark pavia has directed,","
1294,have you ever watched the vantage point,","
1295,have you seen my last five girlfriends,","
1296,have you seen a charlton heston disaster movie,","
1297,have you seen the movie inception with jodie foster,inception
1298,how come i do not see as many mockumentary movies being made these days,","
1299,how come they never did a sequel to the shining,","
1300,how did you like 4 months 3 weeks and 2 days,","
1301,how did you like men in black,","
1302,how is the movie death to smoochy,","
1303,how likely is antony sher to have been in a movie as early as 1950 that was rated at least seven stars,","
1304,how many r rated emotional movies have been made in the past five decades,","
1305,how many comedy movies has meryl streep has been in,","
1306,how many films featured stacey dash in 1950,","
1307,how many levels of dreams are in the movie inception,","
1308,how would you rate who killed who,","
1309,i am interested in a pg 13 fantasy movie that was directed by dusty nelson and has an average rating of seven stars,","
1310,i am looking for a pg rated thriller that was made sometime in the last decade that was directed by daniel zirilli,","
1311,i am looking for a post apocalypse plot unrated movie that was directed by george gallo from the last six years and has a seven stars ratings average,","
1312,i am looking for a sci fi from 1970 with excellent ratings,","
1313,i am looking for a thriller that was directed by alex pires sometime in the past five years,","
1314,i am looking for a unrated disney movie about a teddy bear starring julie pinson with a four star ratings average,","
1315,i am looking for an arnold schwarzenegger action movie from the past five years,","
1316,i am looking for an unrated science fiction movie from this year,","
1317,i am looking for some highly recommended family films from 1950,","
1318,i am trying to find a police movie rated pg 13 that had a rating of six and starred jane campion,","
1319,i want a 1970 history movie starring patricia richards,","
1320,i want a pg 2010 documentary that was directed by hiromichi matano,","
1321,i want a documentary starring helena bonham carter from the past three years that was received well,","
1322,i want a movie from 2000 that is r rated and stars danielle fishel,","
1323,i want an eight stars rated mystery movie,","
1324,i want to find a 2010 movie that was directed by alek keshishian with the plot being about striking it rich,","
1325,i want to find out about a sam neill movie made in the 1990 s that is rated pg and was rated nine out of 10,","
1326,i want to get the movie when nature calls,","
1327,i want to see inception by francis ford coppola,inception
1328,i want to see a history movie made in 1970 is there any,","
1329,i want to watch an emotional pg 13 1990 boxer movie that has a rating of six,","
1330,i would a movie about gangs with actor barry pepper,","
1331,i would like a biography directed by ian mackenzie that had an average rating of six,","
1332,i would like a list of political films that were rated a six,","
1333,i would like a movie from 1990 with a plot about despair,","
1334,i would like a must see adventure about a mountain climber,","
1335,i would like a war movie directed by harry elfont from last year rated pg 13,","
1336,i would like an emotional type movie,","
1337,i would like the movie mongolian death worm,","
1338,i would like the title of the pg 13 rated movie with dan haggerty that was rated well,","
1339,i would like to find a movie with the title cobb,","
1340,i would like to find a two thumbs up rated bill cosby movie from 1990,","
1341,i would like to get the reflecting skin movie,the reflecting skin
1342,i would like to see the well rated action movie about security from the 1940 s that was rated g and directed by javier mariscal,","
1343,i would love to see a 1960 s melodrama made by melville shavelson with a nine rating,","
1344,id like a list of girl movies filmed in the year 1990 which star bobbie phillips,","
1345,id like that really good emotional film starring carmen electra about an artist,","
1346,id like that watchable and unrated film noir movie from 1950,","
1347,id like to find a 1960 s mockumentary film,","
1348,id like to find a pg 13 movie about promises that was directed by steven silver,","
1349,id like to find a cowboy movie with actor dermot mulroney featured in it,","
1350,id love a suggestion for a 1950 war movie,","
1351,id really like to see the 1970 drama by alan j pakula,","
1352,im looking for a 1970 s political film about finance,","
1353,im looking for a kate jackson sci fi film from 2000 that got excellent ratings,","
1354,im looking for a pg movie featuring animation and starring michael gross that rated an average of nine,","
1355,im looking for a pg 13 documentary directed by shuhei morita,","
1356,im looking for a pg 13 thriller starring damiano damiani,","
1357,im looking for a western,","
1358,im looking for a biography film from 1980 with an irish italian plot directed by tim blake nelson,","
